artifact	type	sha256	notes
build/whitebox/dark-uiux-pr08-director-mine-map-stage/evidence/dark-uiux-pr08-director-mine-bottom-deck-crop.png	packaged-bottom-deck-crop	411dd453346b919ede2f715c5ebb0b6882e50be1825ae73ed16801780456574f	mine packaged bottom-deck guard crop
build/whitebox/dark-uiux-pr08-director-mine-map-stage/evidence/dark-uiux-pr08-director-mine-evidence-summary.png	packaged-evidence-summary	7fa559037e2199507c8e08b915125336e81e87547598bf8a2e25bcf21fcb56f4	mine packaged evidence-summary capture via KTOME_VALIDATION_STARTUP_SURFACE; runtime log contains show-evidence-summary
build/whitebox/dark-uiux-pr08-director-mine-map-stage/evidence/dark-uiux-pr08-director-mine-map-stage-app.log	packaged-app-log	d51c983fe97424f93688e2797e9c91b37f7981a9c9a89c1bd21f0574737fdfd4	mine packaged app log; contains evidence_summary_opened
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/evidence/dark-uiux-pr08-director-shadow-depths-v3-before-v4-parity-1280x800.png	packaged-full-window	8b005f781bbc0642b11bb6a32ff0c1bf7b63a4f8be1a09dd13a308756e53e850	shadow-depths packaged full-window capture before v4
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/evidence/dark-uiux-pr08-director-shadow-depths-v3-before-v4-map-stage-crop.png	packaged-map-crop	40600bff390351be51b4f1f81596e2e892e201a448d1201200350d36ff4f86a3	shadow-depths packaged map-stage crop before v4; readable but right half sparse
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/evidence/dark-uiux-pr08-director-shadow-depths-v3-before-v4-right-panel-crop.png	packaged-right-panel-crop	62ce0b35dc02547cac7836de400057ae7fc9cb05f2bd8151a23a56f85c5cd192	shadow-depths packaged right-panel guard crop before v4
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/evidence/dark-uiux-pr08-director-shadow-depths-v3-before-v4-bottom-deck-crop.png	packaged-bottom-deck-crop	a7a03a8e5d7dd008ca3c3687c6df27684c1bc81eadf7d616b47b25b54b9cbae5	shadow-depths packaged bottom-deck guard crop before v4
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/evidence/dark-uiux-pr08-director-shadow-depths-parity-1280x800.png	packaged-full-window	9ed6b4a0fc75cd67a847569fb6e937b4fe538085878afa745277b45e9ef17a62	shadow-depths packaged full-window capture v4
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/evidence/dark-uiux-pr08-director-shadow-depths-map-stage-crop.png	packaged-map-crop	d9e57405a62fc1206a8a90706b19cf660c62ca0349b6491f7ab2d89fa03b0d15	shadow-depths packaged map-stage crop v4; right half has secondary wall mass and broken slab lane
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/evidence/dark-uiux-pr08-director-shadow-depths-right-panel-crop.png	packaged-right-panel-crop	9806e9dd02ae99bc7564801bd707084f203f7dd449681756c5298bff847437d8	shadow-depths packaged right-panel guard crop v4
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/evidence/dark-uiux-pr08-director-shadow-depths-bottom-deck-crop.png	packaged-bottom-deck-crop	1e7bbeaf6879884beff09119b6bca4a40c19dc06353955d9ea2ba767b052f396	shadow-depths packaged bottom-deck guard crop v4
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/evidence/dark-uiux-pr08-director-shadow-depths-evidence-summary.png	packaged-evidence-summary	ba1c14950b967ebe0f6ae893d7aea16d7580a92bc258b02d10e15083464f2e68	shadow-depths packaged evidence-summary capture via KTOME_VALIDATION_STARTUP_SURFACE; runtime log contains show-evidence-summary
build/whitebox/dark-uiux-pr08-director-shadow-depths-map-stage/evidence/dark-uiux-pr08-director-shadow-depths-map-stage-app.log	packaged-app-log	be333e3beaa3038363b4b22326004f214c02959ebd3ee915b980bb0490ee1ca5	shadow-depths packaged app log; contains evidence_summary_opened
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/packaged-non-ruins-family-map-stage-crop-board.png	review-board	6143ee8037d2845d0a90ac58f86facf3481eeb5f1f70b0987ddf5426920e6251	packaged forest mine shadow-depths map-stage fixed-crop comparison board
UI/review/dark-uiux-pr08-exploration/non-ruins-room-art-family-2026-06-02/packaged-non-ruins-family-map-stage-crop-board-v4-shadow.png	review-board	d7676cfd8bd9d3eadaaba83fe6d21b05d99342674f327063c6690307cc47bef9	packaged forest mine shadow-depths v4 map-stage fixed-crop comparison board
